player,total_sca,direct_sca,secondary_sca,direct_pass_sca,direct_balltouch_sca,direct_foul_sca,direct_takeon_sca,direct_cornerawarded_sca,direct_savedshot_sca,direct_shotonpost_sca,direct_goodskill_sca,secondary_pass_sca,secondary_balltouch_sca,secondary_foul_sca,secondary_takeon_sca,secondary_cornerawarded_sca,secondary_savedshot_sca,secondary_shotonpost_sca,secondary_goodskill_sca
Yasin Ayari,35,18,17,13,2,1,1,0,0,1,0,16,0,0,0,1,0,0,0
Yehor Yarmoliuk,26,14,12,14,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0
Yerson Mosquera,22,9,13,9,0,0,0,0,0,0,0,9,1,1,0,2,0,0,0
Yoane Wissa,7,3,4,1,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Youri Tielemans,50,26,24,26,0,0,0,0,0,0,0,22,0,0,0,1,1,0,0
Yves Bissouma,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Yéremy Pino,68,48,20,47,0,1,0,0,0,0,0,16,0,0,1,2,1,0,0
Zach Abbott,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Zeki Amdouni,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Zian Flemming,23,10,13,6,1,1,2,0,0,0,0,9,1,0,0,3,0,0,0
Álex Jiménez,34,14,20,12,0,0,1,1,0,0,0,18,0,0,0,2,0,0,0
